"from","to","dataset","variable","flag","flagging_date","flagged_by","comments"
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaMet2009","SwOut",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaMet2009","LwIn",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaMet2009","LwOut",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaMet2009","SwNet",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaMet2009","LwNet",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaMet2009","Albedo",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaMet2009","Tpan_NR1",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","Ts_1",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","Ts_11",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","Ts_21",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","Ts_37",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","Ts_55",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","Ts_71",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","Ts_89",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","Ts_141",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","E2_h_1",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","E2_h_11",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","E2_h_21",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","E2_h_37",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","E2_h_55",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","E2_h_71",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","E2_h_89",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","E2_sn_v_0",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","cond_h_1",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","cond_h_11",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","cond_h_21",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","cond_h_37",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","cond_h_55",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","cond_h_71",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","cond_h_89",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","cond_sn_v_0",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","vwc_h_1",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","vwc_h_11",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","vwc_h_21",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","vwc_h_37",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","vwc_h_55",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","vwc_h_71",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","vwc_h_89",3,"2014-03-26 07:30:00","WM",NA
"2014-03-26 07:00:00","2014-03-26 07:30:00","BaSoil2009","vwc_sn_v_0",3,"2014-03-26 07:30:00","WM",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","batt_U",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Tair_4",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Tair_20",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Tair_100",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Tair_200",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","RH_200",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","wind_v_200",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","wind_deg_200",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","wind_sddeg_200",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","wind_vmax_200",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","wind_vmin_200",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","prec",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","distraw",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","snowsq",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","distcor",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Dsn",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_252_2",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_252_12",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_252_32",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_252_62",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_252_102",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_252_152",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_203_2",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_203_5",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_203_23",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_203_53",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_203_93",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Ts_203_143",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","SwIn",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","SwOut",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","LwIn",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","LwOut",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","SwNet",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","LwNet",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Albedo",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaMet2009","Tpan_NR1",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","Ts_1",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","Ts_11",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","Ts_21",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","Ts_37",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","Ts_55",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","Ts_71",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","Ts_89",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","Ts_141",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","E2_h_1",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","E2_h_11",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","E2_h_21",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","E2_h_37",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","E2_h_55",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","E2_h_71",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","E2_h_89",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","E2_sn_v_0",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","cond_h_1",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","cond_h_11",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","cond_h_21",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","cond_h_37",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","cond_h_55",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","cond_h_71",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","cond_h_89",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","cond_sn_v_0",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","vwc_h_1",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","vwc_h_11",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","vwc_h_21",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","vwc_h_37",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","vwc_h_55",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","vwc_h_71",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","vwc_h_89",3,"2014-04-12 16:50:00","SF",NA
"2014-04-12 15:04:00","2014-04-12 16:50:00","BaSoil2009","vwc_sn_v_0",3,"2014-04-12 16:50:00","SF",NA
